city,price,property_type
Faisalabad,1300000,House
Lahore,6790000,House
Rawalpindi,20900000,House
Islamabad,348000,House
Lahore,31400000,House
Islamabad,21000000,House
Karachi,250000,House
Islamabad,13000000,House
Faisalabad,7200000,House
Karachi,5500000,House
Lahore,40500000,House
Islamabad,5600000,House
Karachi,2700000,House
Islamabad,67000,House
Faisalabad,200000,House
Rawalpindi,8200000,House
Islamabad,31000000,House
Rawalpindi,40500000,House
Lahore,23300000,House
Rawalpindi,72000,House
Rawalpindi,85000,House
Lahore,3500000,House
Rawalpindi,20000,House
Lahore,2900000,House
Lahore,24900000,House
Lahore,23900000,House
Karachi,2400000,House
Rawalpindi,9100000,House
Karachi,13400000,House
Islamabad,37700000,House
Karachi,12400000,House
Lahore,38600000,House
Lahore,12300000,House
Karachi,12100000,House
Islamabad,420000,House
Faisalabad,23000000,House
Karachi,5650000,House
Rawalpindi,39000000,House
Lahore,42400000,House
Karachi,88000,House
Karachi,17600000,House
Karachi,6500000,House
Lahore,16200000,House
Rawalpindi,15500000,House
Islamabad,3600000,House
Faisalabad,20000,House
Lahore,3950000,House
Rawalpindi,21300000,House
Islamabad,19600000,House
Karachi,1975000,House
Rawalpindi,28000,House
Faisalabad,33000000,House
Rawalpindi,2700000,House
Karachi,340000,House
Lahore,5650000,House
Faisalabad,8400000,House
Karachi,3000000,House
Islamabad,2800000,House
Lahore,2680000,House
Lahore,41200000,House
Rawalpindi,45000,House
Islamabad,235000,House
Karachi,1950000,House
Karachi,285000,House
Karachi,2450000,House
Rawalpindi,22000000,House
Rawalpindi,12600000,House
Karachi,7200000,House
Karachi,20000,House
Karachi,9500000,House
Rawalpindi,6900000,House
Rawalpindi,4950000,House
Lahore,21400000,House
Lahore,42200000,House
Islamabad,21200000,House
Lahore,8700000,House
Rawalpindi,33000000,House
Faisalabad,17000000,House
Faisalabad,4600000,House
Lahore,2700000,House
Rawalpindi,2100000,House
Faisalabad,9400000,House
Karachi,1250000,House
Lahore,34900000,House
Faisalabad,3600000,House
Faisalabad,3100000,House
Faisalabad,4800000,House
Rawalpindi,2300000,House
Faisalabad,5400000,House
Lahore,18600000,House
Islamabad,20000000,House
Faisalabad,14500000,House
Karachi,100000,House
Lahore,20800000,House
Faisalabad,2485000,House
Faisalabad,2250000,House
Karachi,10600000,House
Islamabad,7400000,House
Karachi,19700000,House
Karachi,385000,House
Karachi,6050000,House
Rawalpindi,22500000,House
Lahore,9500000,House
Rawalpindi,31500000,House
Islamabad,5500000,House
Rawalpindi,36000000,House
Karachi,36000000,House
Karachi,42000,House
Karachi,1400000,House
Islamabad,210000,House
Islamabad,28800000,House
Rawalpindi,940000,House
Islamabad,4500000,House
Lahore,27500000,House
Lahore,24000000,House
Lahore,19800000,House
Lahore,9400000,House
Islamabad,44500000,House
Karachi,380000,House
Islamabad,11900000,House
Karachi,6400000,House
Karachi,14600000,House
Lahore,40900000,House
Rawalpindi,32500000,House
Rawalpindi,19000000,House
Karachi,75000,House
Lahore,7350000,House
Islamabad,19800000,House
Islamabad,82000,House
Islamabad,12300000,House
Lahore,25500000,House
Islamabad,16000000,House
Faisalabad,9200000,House
Islamabad,122000,House
Faisalabad,6200000,House
Karachi,10300000,House
Lahore,8400000,House
Karachi,175000,House
Karachi,130000,House
Lahore,32500000,House
Rawalpindi,4700000,House
Islamabad,5100000,House
Karachi,3700000,House
Karachi,480000,House
Islamabad,470000,House
Rawalpindi,19900000,House
Islamabad,2600000,House
Islamabad,5300000,House
Lahore,22800000,House
Rawalpindi,155000,House
Karachi,5200000,House
Islamabad,32500000,House
Karachi,3300000,House
Islamabad,19900000,House
Karachi,550000,House
Rawalpindi,145000,House
Lahore,9999000,House
Faisalabad,8950000,House
Karachi,14200000,House
Karachi,3200000,House
Lahore,2500000,House
Karachi,41500000,House
Islamabad,12700000,House
Islamabad,6600000,House
Faisalabad,9150000,House
Karachi,6342000,House
Lahore,32800000,House
Rawalpindi,11800000,House
Lahore,13500000,House
Lahore,25000000,House
Islamabad,11500000,House
Faisalabad,3000000,House
Karachi,24000000,House
Karachi,12600000,House
Rawalpindi,4250000,House
Lahore,1550000,House
Rawalpindi,38000000,House
Lahore,3900000,House
Rawalpindi,29000,House
Karachi,5800000,House
Lahore,6299000,House
Rawalpindi,19500,House
Lahore,40200000,House
Lahore,16500000,House
Rawalpindi,110000,House
Lahore,41500000,House
Islamabad,17500000,House
Faisalabad,4650000,House
Karachi,38000000,House
Karachi,36500000,House
Lahore,38500000,House
Karachi,8600000,House
Rawalpindi,9600000,House
Rawalpindi,7200000,House
Lahore,19900000,House
Lahore,2290000,House
Rawalpindi,22800000,House
Lahore,21900000,House
Lahore,5270000,House
Faisalabad,24500000,House
Karachi,7000000,House
Islamabad,20000,House
Lahore,41700000,House
Karachi,5000000,House
Rawalpindi,14200000,House
Islamabad,16600000,House
Karachi,84000,House
Rawalpindi,13500000,House
Rawalpindi,55000,House
Lahore,3300000,House
Lahore,7850000,House
Karachi,31200000,House
Islamabad,32400000,House
Karachi,5350000,House
Karachi,26000,House
Islamabad,40000000,House
Lahore,7600000,House
Islamabad,27000,House
Islamabad,7300000,House
Lahore,15200000,House
Rawalpindi,12200000,House
Karachi,390000,House
Rawalpindi,50000,House
Lahore,42500000,House
Lahore,5200000,House
Islamabad,25000000,House
Faisalabad,8200000,House
Lahore,3000000,House
Islamabad,16800000,House
Lahore,4750000,House
Lahore,22900000,House
Rawalpindi,35000000,House
Lahore,4950000,House
Lahore,2400000,House
Karachi,325000,House
Karachi,26000000,House
Rawalpindi,11900000,House
Rawalpindi,44500000,House
Karachi,15700000,House
Karachi,9205000,House
Rawalpindi,3800000,House
Lahore,8600000,House
Lahore,5800000,House
Karachi,8200000,House
Karachi,1200000,House
